1729688837,1681636412,1,1
1570835717,1682001883,1,1
1337915577,1662534987,1,1
1013257200,1625027570,1,0
1741348889,1645783564,0,1
1859472202,1672575844,1,1
1802365887,1694114087,1,3
492533047,1657283471,0,1
1244088508,1663770570,1,1
1752465210,1626698460,1,0
984141856,1626886131,0,0
1505727113,1626967690,0,0
1845455230,1675971990,1,2
1842529616,1673960696,1,1
1941113710,1658775861,1,2
1925108859,1692333978,1,2
1703418624,1662236935,1,1
1778063319,1660321904,1,3
1882710842,1656693387,1,1
1847750314,1671220343,1,3
1991447516,1664954105,0,1
1901966288,1682384867,1,1
1913780093,1687008344,1,1
1890974239,1676876895,1,2
1927949546,1672384437,1,1
1707487445,1671308695,1,1
1904885705,1676295771,1,1
1596788892,1664027118,1,1
1900020872,1667161505,1,1
1809776812,1661007378,1,1
1706152048,1657772115,1,1
1851658461,1662483589,1,1
1830098436,1676113461,1,1
1806480004,1677315904,1,2
1944820650,1666481478,1,1
1465695311,1638813347,0,0
1892397127,1675866314,1,1
2135891056,1639424503,0,0
1923890193,1639442893,1,1
1389257538,1706197708,0,2
1596389138,1639751363,0,0
1935201517,1683572449,1,2
1811886005,1684970910,1,2
5076230254,1646054294,0,1
1575575458,1642254554,1,1
1806744597,1676219971,1,2
94809654,1641399023,0,0
1428616015,1645971794,0,2
643788151,1682623936,0,1
1006626362,1651055780,0,1
1621755253,1641829584,0,0
687662873,1641892833,0,0
1323866013,1686174413,1,1
931982164,1644563166,0,1
1872593753,1676914949,1,1
1467885106,1642065362,0,0
964067952,1642685893,0,2
1475376995,1642256140,0,0
840364696,1642382577,1,0
1370059678,1671258313,0,1
2099991250,1650214241,1,3
102292398,1642638243,1,0
1759018630,1642694226,0,1
719279942,1645471631,0,1
5170696940,1642959741,0,0
5284754542,1659830881,0,1
1658529664,1643510651,1,0
5148802529,1643849790,0,0
737192222,1643862169,0,0
943734242,1646656646,0,1
5262748155,1644255383,0,1
852901893,1644128342,1,0
1641834300,1644321876,1,1
802950054,1644410508,0,0
915128172,1671719480,0,4
1496520351,1659354607,1,1
1354871670,1664530862,1,6
963676921,1644736694,1,0
1552756770,1644802974,0,1
444181667,1656255933,0,1
723946889,1660406553,0,1
5046888687,1663384808,0,1
1493353561,1645118609,1,1
825573558,1646149872,0,1
5278839410,1645326970,1,0
1919521008,1645336435,0,1
1566176377,1645341094,0,0
1186400883,1645361969,1,0
927844886,1645367707,1,0
1821310841,1645491003,0,0
2005954761,1645539767,1,0
5014754994,1645560778,0,3
5226693224,1646984246,1,4
1918008253,1662274247,1,1
5223427610,1645620240,0,1
1707785210,1645671375,0,0
5134605369,1645798748,1,0
5196546366,1649575554,1,3
2058571990,1645903528,0,0
864740116,1645913604,0,0
